 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8000
 * Running on http://192.168.1.21:8000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 705-537-984
127.0.0.1 - - [19/Dec/2025 11:48:44] "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:44] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:45] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:45] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:59] "OPTIONS /api/generate HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:58:05] "POST /api/generate HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 11:58:31] "OPTIONS /api/campaign HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:58:36] "OPTIONS /api/newsjacking HTTP/1.1" 200 -
D:\gdg\backend\ai_service.py:126: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
C:\Users\shiva\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\sql\schema.py:3609: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  return util.wrap_callable(lambda ctx: fn(), fn)  # type: ignore
127.0.0.1 - - [19/Dec/2025 11:58:43] "POST /api/campaign HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 11:58:45] "POST /api/newsjacking HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:59:31] "OPTIONS /api/generate HTTP/1.1" 200 -
D:\gdg\backend\routes.py:102: LegacyAPIWarning: The Query.get() method is considered legacy as of the 1.x series of SQLAlchemy and becomes a legacy construct in 2.0. The method is now available as Session.get() (deprecated since: 2.0) (Background on SQLAlchemy 2.0 at: https://sqlalche.me/e/b8d9)
  business = BusinessProfile.query.get(business_id)
C:\Users\shiva\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\sql\schema.py:3609: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  return util.wrap_callable(lambda ctx: fn(), fn)  # type: ignore
127.0.0.1 - - [19/Dec/2025 11:59:36] "POST /api/generate HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 11:59:36] "OPTIONS /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:59:36] "POST /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:39] "OPTIONS /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:39] "OPTIONS /api/auth/me HTTP/1.1" 200 -
D:\gdg\backend\auth_v2.py:84: LegacyAPIWarning: The Query.get() method is considered legacy as of the 1.x series of SQLAlchemy and becomes a legacy construct in 2.0. The method is now available as Session.get() (deprecated since: 2.0) (Background on SQLAlchemy 2.0 at: https://sqlalche.me/e/b8d9)
  user = User.query.get(user_id)
127.0.0.1 - - [19/Dec/2025 12:00:40] "GET /api/auth/me HTTP/1.1" 200 -
D:\gdg\backend\auth_v2.py:84: LegacyAPIWarning: The Query.get() method is considered legacy as of the 1.x series of SQLAlchemy and becomes a legacy construct in 2.0. The method is now available as Session.get() (deprecated since: 2.0) (Background on SQLAlchemy 2.0 at: https://sqlalche.me/e/b8d9)
  user = User.query.get(user_id)
127.0.0.1 - - [19/Dec/2025 12:00:40] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:40] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:40] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:40] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:40] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:40] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:40] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:40] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:41] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:41] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:41] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:41] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:41] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:41] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:41] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:00:42] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:01:33] "OPTIONS /api/generate HTTP/1.1" 200 -
D:\gdg\backend\routes.py:102: LegacyAPIWarning: The Query.get() method is considered legacy as of the 1.x series of SQLAlchemy and becomes a legacy construct in 2.0. The method is now available as Session.get() (deprecated since: 2.0) (Background on SQLAlchemy 2.0 at: https://sqlalche.me/e/b8d9)
  business = BusinessProfile.query.get(business_id)
C:\Users\shiva\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\sql\schema.py:3609: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  return util.wrap_callable(lambda ctx: fn(), fn)  # type: ignore
127.0.0.1 - - [19/Dec/2025 12:01:39] "POST /api/generate HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 12:05:05] "OPTIONS /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:05:05] "OPTIONS /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:05:05] "GET /api/auth/me HTTP/1.1" 401 -
127.0.0.1 - - [19/Dec/2025 12:05:05] "GET /api/auth/me HTTP/1.1" 401 -
127.0.0.1 - - [19/Dec/2025 12:05:18] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:05:18] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [19/Dec/2025 12:06:13] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:06:14] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:06:14] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:06:15] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:06:15] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:06:15] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:06:15] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:06:15] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:06:15] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:06:15] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:06:16] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:06:16] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:06:17] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:06:17] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:07:31] "OPTIONS /api/generate HTTP/1.1" 200 -
D:\gdg\backend\routes.py:102: LegacyAPIWarning: The Query.get() method is considered legacy as of the 1.x series of SQLAlchemy and becomes a legacy construct in 2.0. The method is now available as Session.get() (deprecated since: 2.0) (Background on SQLAlchemy 2.0 at: https://sqlalche.me/e/b8d9)
  business = BusinessProfile.query.get(business_id)
C:\Users\shiva\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\sql\schema.py:3609: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  return util.wrap_callable(lambda ctx: fn(), fn)  # type: ignore
127.0.0.1 - - [19/Dec/2025 12:07:36] "POST /api/generate HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 12:07:36] "OPTIONS /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:07:36] "POST /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:08:30] "OPTIONS /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:08:31] "OPTIONS /api/auth/me HTTP/1.1" 200 -
D:\gdg\backend\auth_v2.py:84: LegacyAPIWarning: The Query.get() method is considered legacy as of the 1.x series of SQLAlchemy and becomes a legacy construct in 2.0. The method is now available as Session.get() (deprecated since: 2.0) (Background on SQLAlchemy 2.0 at: https://sqlalche.me/e/b8d9)
  user = User.query.get(user_id)
127.0.0.1 - - [19/Dec/2025 12:08:31] "GET /api/auth/me HTTP/1.1" 200 -
D:\gdg\backend\auth_v2.py:84: LegacyAPIWarning: The Query.get() method is considered legacy as of the 1.x series of SQLAlchemy and becomes a legacy construct in 2.0. The method is now available as Session.get() (deprecated since: 2.0) (Background on SQLAlchemy 2.0 at: https://sqlalche.me/e/b8d9)
  user = User.query.get(user_id)
127.0.0.1 - - [19/Dec/2025 12:08:31] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:09:19] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:09:20] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [19/Dec/2025 12:11:12] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:11:13] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:11:13] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:11:13] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:11:13] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:11:13] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:11:13] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:11:14] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:11:14] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:11:14] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:11:14] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:11:15] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:11:15] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:13:51] "OPTIONS /api/generate HTTP/1.1" 200 -
D:\gdg\backend\routes.py:102: LegacyAPIWarning: The Query.get() method is considered legacy as of the 1.x series of SQLAlchemy and becomes a legacy construct in 2.0. The method is now available as Session.get() (deprecated since: 2.0) (Background on SQLAlchemy 2.0 at: https://sqlalche.me/e/b8d9)
  business = BusinessProfile.query.get(business_id)
C:\Users\shiva\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\sql\schema.py:3609: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  return util.wrap_callable(lambda ctx: fn(), fn)  # type: ignore
127.0.0.1 - - [19/Dec/2025 12:13:57] "POST /api/generate HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 12:13:57] "OPTIONS /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:13:57] "POST /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:45] "OPTIONS /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:45] "OPTIONS /api/auth/me HTTP/1.1" 200 -
D:\gdg\backend\auth_v2.py:84: LegacyAPIWarning: The Query.get() method is considered legacy as of the 1.x series of SQLAlchemy and becomes a legacy construct in 2.0. The method is now available as Session.get() (deprecated since: 2.0) (Background on SQLAlchemy 2.0 at: https://sqlalche.me/e/b8d9)
  user = User.query.get(user_id)
127.0.0.1 - - [19/Dec/2025 12:21:45] "GET /api/auth/me HTTP/1.1" 200 -
D:\gdg\backend\auth_v2.py:84: LegacyAPIWarning: The Query.get() method is considered legacy as of the 1.x series of SQLAlchemy and becomes a legacy construct in 2.0. The method is now available as Session.get() (deprecated since: 2.0) (Background on SQLAlchemy 2.0 at: https://sqlalche.me/e/b8d9)
  user = User.query.get(user_id)
127.0.0.1 - - [19/Dec/2025 12:21:45] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:46] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:46] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:46] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:46] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:46] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:46] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:46] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:46] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:46] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:46] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:47] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:47] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:47] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:47] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:21:48] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:25:36] "OPTIONS /api/generate HTTP/1.1" 200 -
D:\gdg\backend\routes.py:102: LegacyAPIWarning: The Query.get() method is considered legacy as of the 1.x series of SQLAlchemy and becomes a legacy construct in 2.0. The method is now available as Session.get() (deprecated since: 2.0) (Background on SQLAlchemy 2.0 at: https://sqlalche.me/e/b8d9)
  business = BusinessProfile.query.get(business_id)
C:\Users\shiva\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\sql\schema.py:3609: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  return util.wrap_callable(lambda ctx: fn(), fn)  # type: ignore
127.0.0.1 - - [19/Dec/2025 12:25:41] "POST /api/generate HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 12:25:41] "OPTIONS /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:25:41] "POST /api/generate-image HTTP/1.1" 200 -
 * Detected change in 'D:\\gdg\\backend\\ai_service.py', reloading
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1766127449.245539   14636 init.cc:232] grpc_wait_for_shutdown_with_timeout() timed out.
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 705-537-984
127.0.0.1 - - [19/Dec/2025 12:27:37] "OPTIONS /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:27:37] "OPTIONS /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:27:37] "GET /api/auth/me HTTP/1.1" 401 -
127.0.0.1 - - [19/Dec/2025 12:27:37] "GET /api/auth/me HTTP/1.1" 401 -
127.0.0.1 - - [19/Dec/2025 12:28:24] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:28:24] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:28:24] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:28:25] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:28:25] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:28:25] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:28:25] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:28:25] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:28:26] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:28:26] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:28:26] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:28:27] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:28:28] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:31:01] "OPTIONS /api/generate HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:31:06] "POST /api/generate HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 12:31:06] "OPTIONS /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:31:06] "POST /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:31:56] "OPTIONS /api/generate HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:32:01] "POST /api/generate HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 12:32:55] "OPTIONS /api/generate HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:33:00] "POST /api/generate HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 12:33:00] "OPTIONS /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:33:00] "POST /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:34:47] "OPTIONS /api/generate HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:34:52] "POST /api/generate HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 12:34:52] "OPTIONS /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:34:52] "POST /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:35:29] "OPTIONS /api/generate HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 12:35:33] "POST /api/generate HTTP/1.1" 201 -
